Name,N,Breakfast,Lunch,Dinner,Snack,R,M,H,P,I,K,C,Other,serving_size,Q,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin, vitamin_a ,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Food 1,1,1,0,0,1,1,1,0,0,1,0,11.1,1,190,1,218.5,21.47,6.46,133,83.6,0,5.7,0,9.3,0.18,0.33,0.08,0,0,0,11.4,0,1.9,0,3.69,0.78,0,0,0.55,0.34,0.57,22.8,0.13,4.88,24.7,0,406.6,315.4,44.65,0.68,24.11,3.66,3.17,4.99,0.26,5.19,2.46,0.43,0.19,1.98,3.25,3.9,1.03,1.57,2.11,2.01,1.73,0.34,1.39,2.92,1.05,0,0,0,0.04,0.19,0.1,0,0,6.92,2.68,6.85,0.04,144.4,0,1.92,0,0,9.96
Food 2,2,1,0,0,1,1,1,0,0,1,0,11.6,1,60,1,75.6,4.38,0.96,49.2,52.2,0,3,0,0.37,2.27,0.24,0.05,0,1.2,0,0,0.6,0,0,1.3,0.33,0.18,0.6,0.16,0.14,0.48,10.2,0.02,1.67,12.6,0,156,214.2,21.42,0.79,14.65,1.09,1,1.54,0.25,2.16,0.82,0.75,0.09,1.04,1.39,1.52,0.62,0.8,0.64,0.65,0.82,0.21,0.59,1.15,0,0,0,0.02,0,0.06,0,0,0,4.97,1.11,2.24,0.02,43.2,0,0.76,0.6,0,41.89
Food 3,3,1,0,0,1,1,1,0,0,1,0,20.7,1,110,1,92.4,3.08,6.49,79.2,90.2,0,0,0,4.06,0,0.18,0,0,0,0,2.2,0,0,0,1.23,0.82,0,0,0.34,0.33,0,91.3,0,3.12,15.4,0,13.2,182.6,0.99,0.09,16.69,0.21,0,0.11,0.04,0,0,0.19,0.03,0.1,0,0,0.1,0.01,0.06,0.09,0.05,0.06,0,0,28.53,0,0,0.03,0.09,0.18,0,0.01,0.01,10.48,1.23,3.07,0,85.8,0.11,1.49,1.1,0,77.69
Food 4,4,1,0,0,1,1,1,0,0,1,0,12.4,1,50,1,58.5,4.8,1.7,0.5,472.5,0,12.5,24.5,2.2,0.08,0.16,0.3,121,4,0,2,0,2.5,0,0.62,0.88,0.05,8,22,0.09,0,15,0.03,23.12,8.5,0.15,97.5,183,14.9,0.25,6.25,0.25,1.77,0,0.09,0.15,0,0.02,0,0.48,0.03,0.16,0.32,0.36,0.28,0.03,0.04,0.01,0.34,0.03,24.65,3.8,6.07,1.94,0.02,0.03,0,0.34,0.02,2.14,0.06,0.78,5.4,140,0,1.22,0.5,0,5.8
Food 5,5,1,0,0,1,1,1,0,0,1,0,16.2,1,140,1,218.4,10.36,3.22,116.2,140,117.32,2.8,0,0.83,1.93,0.6,0.13,12.6,8.4,0,18.2,1.4,1.4,0,3.09,0.54,0,0,0.38,0.39,1.26,12.6,0.17,3.65,29.4,0.04,336,756,62.86,1.68,39.17,1.99,2.32,3.63,0.4,4.95,1.51,1.69,0,2.03,2.96,3.05,1.03,1.31,1.28,1.85,1.41,0.4,1.26,1.84,0,0,0,0,0.01,0.07,0.01,0,0,10.72,8.93,10.33,0.15,109.2,0.14,2.16,0,0,81.73
Food 6,6,1,0,0,1,1,1,0,1,0,0,19.9,1,190,1,121.6,0,0,0,0,0,5.7,0,0.33,0,0.2,0,0,0,1.9,11.4,24.7,51.3,0,0,0.06,0.38,0,0.87,0.38,0,0,0.29,2.24,11.4,0,9.5,178.6,1.71,0.06,0,0.58,0,0.68,0.33,0.07,0,0.4,0.15,0.75,0.18,0.1,0.2,0.07,0.07,0.56,0.33,0,0,0.32,86.34,7.41,0,0,0.29,0.29,0,0,0,169.21,0,0,0,17.1,0,2.19,1.9,0,125.88
Food 7,7,1,0,0,1,1,1,0,1,0,0,42,1,170,1,153,31.96,3.23,124.1,95.2,121.04,13.6,0,8.15,1.56,0.48,0.05,113.9,15.3,3.4,0,0,5.1,0,1.51,1.6,0,44.2,0.37,1.48,2.21,20.4,0.29,4.73,44.2,0,843.2,902.7,23.29,13.58,36.79,2.88,2.68,2.9,0.49,6.35,2.27,1.94,0.24,2.79,3.11,4.45,1.23,1.46,2,1.98,1.65,0.69,1.83,2.6,0.9,0,0.31,0,0.07,0.14,0,0.07,0.05,95.15,2.93,3.84,0.13,130.9,0,2.91,1.7,0,117.06
Food 8,8,1,0,0,0,1,1,0,1,0,0,10.6,1,190,1,522.5,30.02,0.38,0,708.7,0,1147.6,117.8,14.47,0.15,0.72,0.28,0,9.5,0,7.6,1.9,9.5,0,2.89,0.26,0,0,0.32,11.36,0,220.4,0.05,11.34,72.2,0.32,11.4,3708.8,40.85,0.57,21.01,0,0.34,0.15,0.04,0,0,0.13,0.17,0,0.65,0,0.24,1.15,1.1,0,0.09,0,0,0.06,49.51,4.56,11.17,0.02,0.13,0.08,0,0.11,0.13,5.72,26.4,2.98,7.96,32.3,0.19,2.07,0,0,79.99
Food 9,9,1,0,0,0,1,1,0,1,0,0,26.9,1,100,1,134,7.6,2.9,84,68,67.6,7,0,4.68,0.96,0.32,0.06,0,0,2,0,1,5,0,1.79,0.43,0.1,0,0.22,0.69,0.1,14,0.03,2.97,20,0,228,337,34.7,1.38,19.83,1.89,2.05,2.93,0.47,3.13,1.58,1.15,0.22,1.35,2.02,2.23,0.81,1.26,1.1,0.96,1.23,0.33,0.85,1.45,0.39,0.1,0.08,0,0,0.07,0,0,0.01,9.28,2.4,3.95,0.41,258,0,1.37,0,0,42.66
Food 10,10,1,0,0,1,1,1,0,1,0,0,41.6,1,90,1,184.5,1.44,2.79,94.5,72,60.3,4.5,0,5.35,1.31,0.25,0.09,0,0,0.9,0,0,9.9,0,0.86,0.4,0.27,14.4,0.24,0.19,0.36,10.8,0.09,2.48,44.1,0,258.3,312.3,0.81,1.81,23.1,0.54,1.19,2.06,0.17,1.89,1.11,0.9,0.04,0.99,1.78,1.69,0.76,0.89,2.02,0.73,0.82,0.1,0.86,0.88,0.66,0,0,0,0.04,0.05,0,0,0.03,9.18,0.91,2.48,0.11,59.4,0,1.06,0,0.9,59.47
